Bujur,Lintang,Kepercayaan,Region,Provinsi,Kabupaten,Kecamatan,Satelit,Tanggal,Waktu
106.2878,-6.1380,8,JAWA,BANTEN,KAB. SERANG,KRAGILAN,TERRA,2020-08-02,03:25:00
105.9586,-6.0302,7,JAWA,BANTEN,KOTA CILEGON,CIWADAN,SNPP,2020-08-02,06:35:16.000000
107.9795,-6.5962,8,JAWA,JAWA BARAT,KAB. INDRAMAYU,TERISI,SNPP,2020-08-02,06:35:16.000000
107.7042,-6.4210,8,JAWA,JAWA BARAT,KAB. SUBANG,CIKAUM,SNPP,2020-08-02,06:35:16.000000
107.6853,-6.3989,8,JAWA,JAWA BARAT,KAB. SUBANG,PURWADADI,NOAA20,2020-08-02,05:44:02.000000
106.7908,-6.8519,8,JAWA,JAWA BARAT,KAB. SUKABUMI,CIAMBAR,TERRA,2020-08-02,03:25:00
106.7896,-6.8704,8,JAWA,JAWA BARAT,KAB. SUKABUMI,NAGRAK,AQUA,2020-08-02,06:17:00
106.7635,-7.2932,8,JAWA,JAWA BARAT,KAB. SUKABUMI,TEGALBULEUD,NOAA20,2020-08-02,05:44:02.000000
107.8107,-6.9643,8,JAWA,JAWA BARAT,KAB. SUMEDANG,CIMANGGUNG,TERRA,2020-08-02,03:25:00
109.9270,-6.9240,8,JAWA,JAWA TENGAH,KAB. BATANG,BANYUPUTIH,NOAA20,2020-08-02,05:44:02.000000
109.9239,-6.9232,8,JAWA,JAWA TENGAH,KAB. BATANG,BANYUPUTIH,NOAA20,2020-08-02,05:44:02.000000
111.4084,-7.3154,8,JAWA,JAWA TENGAH,KAB. BLORA,KRADENAN,NOAA20,2020-08-02,05:44:02.000000
111.4054,-7.1688,8,JAWA,JAWA TENGAH,KAB. BLORA,RANDUBLATUNG,AQUA,2020-08-02,06:17:00
109.0224,-7.0353,8,JAWA,JAWA TENGAH,KAB. BREBES,SONGGOM,AQUA,2020-08-02,06:17:00
109.0200,-7.0343,8,JAWA,JAWA TENGAH,KAB. BREBES,SONGGOM,SNPP,2020-08-02,06:33:51.000000
109.0193,-7.0301,8,JAWA,JAWA TENGAH,KAB. BREBES,SONGGOM,SNPP,2020-08-02,06:33:51.000000
109.0193,-7.0337,8,JAWA,JAWA TENGAH,KAB. BREBES,SONGGOM,SNPP,2020-08-02,06:33:51.000000
110.6664,-7.2050,8,JAWA,JAWA TENGAH,KAB. GROBOGAN,KEDUNGJATI,NOAA20,2020-08-02,05:44:02.000000
110.6166,-7.0745,8,JAWA,JAWA TENGAH,KAB. GROBOGAN,TEGOWANU,NOAA20,2020-08-02,05:44:02.000000
110.9476,-6.9492,7,JAWA,JAWA TENGAH,KAB. PATI,SUKOLILO,NOAA20,2020-08-02,05:44:02.000000
110.9497,-6.9406,8,JAWA,JAWA TENGAH,KAB. PATI,SUKOLILO,NOAA20,2020-08-02,05:44:02.000000
112.9859,-7.1739,8,JAWA,JAWA TIMUR,KAB. BANGKALAN,MODUNG,NOAA20,2020-08-02,05:44:02.000000
112.9817,-7.1745,8,JAWA,JAWA TIMUR,KAB. BANGKALAN,MODUNG,NOAA20,2020-08-02,05:44:02.000000
112.9831,-7.1740,8,JAWA,JAWA TIMUR,KAB. BANGKALAN,MODUNG,SNPP,2020-08-02,06:33:51.000000
111.8935,-7.3029,8,JAWA,JAWA TIMUR,KAB. BOJONEGORO,DANDER,NOAA20,2020-08-02,05:44:02.000000
113.9308,-7.8268,8,JAWA,JAWA TIMUR,KAB. BONDOWOSO,KLABANG,NOAA20,2020-08-02,05:44:02.000000
114.0510,-8.1205,8,JAWA,JAWA TIMUR,KAB. BONDOWOSO,TLOGOSARI,AQUA,2020-08-02,06:17:00
114.0575,-8.1150,8,JAWA,JAWA TIMUR,KAB. BONDOWOSO,TLOGOSARI,SNPP,2020-08-02,06:33:51.000000
113.4762,-8.1638,8,JAWA,JAWA TIMUR,KAB. JEMBER,TANGGUL,NOAA20,2020-08-02,05:44:02.000000
112.9298,-8.1190,8,JAWA,JAWA TIMUR,KAB. LUMAJANG,PRONOJIWO,AQUA,2020-08-02,06:17:00
112.9302,-8.1116,8,JAWA,JAWA TIMUR,KAB. LUMAJANG,PRONOJIWO,SNPP,2020-08-02,06:33:51.000000
111.8211,-7.6331,8,JAWA,JAWA TIMUR,KAB. NGANJUK,BERBEK,NOAA20,2020-08-02,05:44:02.000000
111.2914,-7.3870,8,JAWA,JAWA TIMUR,KAB. NGAWI,KEDUNGGALAR,NOAA20,2020-08-02,05:44:02.000000
112.7413,-7.6457,8,JAWA,JAWA TIMUR,KAB. PASURUAN,PANDAAN,NOAA20,2020-08-02,05:44:02.000000
112.8035,-7.6576,8,JAWA,JAWA TIMUR,KAB. PASURUAN,REMBANG,SNPP,2020-08-02,06:33:51.000000
111.3313,-7.9167,8,JAWA,JAWA TIMUR,KAB. PONOROGO,BADEGAN,NOAA20,2020-08-02,05:44:02.000000
111.4458,-7.8866,8,JAWA,JAWA TIMUR,KAB. PONOROGO,KAUMAN,NOAA20,2020-08-02,05:44:02.000000
111.4432,-7.8891,8,JAWA,JAWA TIMUR,KAB. PONOROGO,SUKOREJO,NOAA20,2020-08-02,05:44:02.000000
112.7231,-7.3762,7,JAWA,JAWA TIMUR,KAB. SIDOARJO,GEDANGAN,NOAA20,2020-08-02,05:44:02.000000
114.2327,-7.7857,8,JAWA,JAWA TIMUR,KAB. SITUBONDO,BANYUPUTIH,SNPP,2020-08-02,06:33:51.000000
113.9081,-7.7289,8,JAWA,JAWA TIMUR,KAB. SITUBONDO,KENDIT,NOAA20,2020-08-02,05:44:02.000000
113.9037,-7.7260,8,JAWA,JAWA TIMUR,KAB. SITUBONDO,KENDIT,NOAA20,2020-08-02,05:44:02.000000
113.9617,-7.7690,8,JAWA,JAWA TIMUR,KAB. SITUBONDO,SITUBONDO,NOAA20,2020-08-02,05:44:02.000000
113.6720,-6.8896,8,JAWA,JAWA TIMUR,KAB. SUMENEP,PASONGSONGAN,NOAA20,2020-08-02,05:44:02.000000
